var0,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94,var95,var96,var97,var98,var99,f0,f1,f2
2,4,3,4,5,5,5,3,2,3,1,0,0,0,0,5,4,2,3,3,3,5,0,0,0,3,4,5,5,2,1,2,1,1,5,0,0,0,5,1,0,2,4,5,5,3,3,3,0,0,4,3,1,3,2,2,3,4,3,4,5,2,5,3,4,1,2,4,0,1,3,1,2,5,0,4,1,0,3,5,3,4,0,4,5,2,3,3,3,5,4,1,2,1,4,3,4,3,3,2,-22,316,-14
4,0,2,3,0,1,2,1,4,0,1,5,0,0,5,5,4,5,1,4,2,1,5,4,2,0,2,4,1,1,0,2,5,2,4,2,1,4,5,4,3,0,3,4,5,0,3,3,1,2,4,3,0,0,0,4,0,0,1,5,0,1,2,4,2,4,4,1,0,4,1,0,2,4,0,4,2,0,2,4,4,3,1,0,5,0,5,2,2,5,5,2,4,0,1,2,3,0,1,5,-113,104,-45
1,3,4,3,1,2,1,1,1,5,4,4,4,2,2,2,5,2,5,3,3,1,4,1,0,2,1,2,5,3,1,0,0,4,0,1,3,0,5,2,1,1,3,0,5,2,0,1,2,4,4,3,2,1,3,2,1,4,2,4,5,4,1,2,5,3,1,2,3,5,1,0,2,2,2,2,1,5,2,5,3,4,3,1,4,5,5,2,2,2,2,0,1,5,5,0,5,3,2,5,-88,180,-73
2,1,1,5,1,1,0,0,1,1,0,1,5,2,2,5,1,4,0,3,3,1,5,5,0,3,1,3,0,3,3,3,1,4,0,1,4,4,5,0,4,4,5,1,4,1,2,5,5,5,2,3,4,3,2,1,5,3,0,4,2,1,5,2,1,0,3,2,1,2,1,0,4,1,4,3,3,2,2,4,5,4,0,4,0,5,5,1,1,3,3,2,2,4,0,2,3,3,4,5,-86,180,34
3,1,1,3,5,1,0,2,4,0,2,1,5,2,0,0,5,2,5,1,3,2,1,1,5,1,1,1,3,3,0,4,4,4,2,5,5,1,5,4,1,3,5,0,2,0,4,4,2,2,2,1,0,5,1,2,5,4,4,3,2,2,0,5,4,5,5,3,2,5,1,4,1,2,1,2,0,2,0,1,3,3,1,5,5,1,3,0,2,0,1,2,3,2,4,3,5,0,4,0,-2,272,-178
1,2,2,5,2,5,2,3,3,0,0,3,2,0,3,3,2,3,3,1,5,1,1,0,1,2,3,2,1,5,1,4,0,3,5,2,2,3,2,1,3,5,5,5,1,5,0,2,0,5,5,4,0,0,0,5,2,4,1,4,3,2,2,4,3,4,5,2,0,1,0,0,4,3,2,2,3,1,1,5,2,3,2,4,2,4,0,4,5,5,3,4,0,3,2,3,5,3,3,5,65,103,38
2,3,0,4,0,3,1,5,5,2,2,4,5,5,3,2,4,1,0,5,2,1,0,1,3,4,3,5,2,4,5,0,2,3,0,2,5,0,5,4,3,4,1,2,4,1,3,3,2,0,3,5,1,5,0,2,5,2,0,0,0,3,0,5,1,4,3,2,3,2,5,1,2,3,5,4,0,2,0,2,5,3,1,2,2,1,1,3,5,5,5,4,1,4,5,1,2,3,3,4,45,339,0
4,3,3,1,3,0,4,1,1,1,4,5,2,4,4,4,2,1,0,0,1,2,5,0,3,4,4,3,4,3,3,5,4,3,2,1,2,1,0,4,3,0,3,4,1,0,1,2,3,3,4,2,0,3,2,1,4,1,3,4,1,0,5,4,1,1,4,3,5,3,0,2,5,4,1,5,2,0,2,5,3,4,5,4,2,4,4,2,0,4,5,5,2,0,2,5,3,5,3,4,35,87,106
4,4,2,3,2,2,1,2,0,0,0,1,3,5,3,4,4,3,1,5,4,1,1,2,5,3,4,4,4,1,2,5,0,0,3,3,3,4,5,3,1,0,1,2,4,0,4,1,1,0,4,4,5,2,4,1,3,2,4,5,4,2,0,1,5,0,4,4,3,2,0,4,4,2,5,5,1,5,5,2,4,5,2,5,0,0,0,1,4,5,4,5,0,4,5,4,1,2,2,3,29,-97,67
0,1,4,4,2,3,4,3,5,2,5,5,4,0,1,5,3,4,0,2,3,5,3,3,3,2,1,2,4,1,2,1,4,2,5,1,0,1,5,2,5,3,0,1,0,3,1,2,2,3,3,3,0,5,1,3,2,0,4,4,0,0,1,1,4,1,2,5,2,0,2,1,4,4,4,4,5,2,1,3,4,3,5,5,1,1,0,0,0,3,2,2,2,1,2,4,5,3,0,5,34,76,114
3,2,0,2,5,0,0,0,5,0,2,3,4,4,0,3,2,1,0,5,3,3,3,0,5,2,1,0,2,0,4,5,5,2,3,5,0,1,4,5,2,0,5,5,5,1,5,2,0,0,0,3,1,1,2,2,3,5,3,5,4,5,4,0,4,3,2,3,0,0,0,3,5,4,3,4,4,3,3,0,1,0,4,4,1,3,2,1,1,4,1,2,0,2,1,0,0,5,4,5,-152,183,95
0,5,1,5,1,5,0,1,1,3,0,5,5,0,3,4,0,4,3,1,4,3,1,0,5,4,2,1,3,2,4,2,1,2,0,5,0,3,3,2,0,2,0,2,1,2,5,1,1,4,5,0,3,1,1,3,4,0,5,3,1,2,4,4,1,5,1,2,1,0,3,1,1,5,3,1,0,1,1,0,4,5,0,3,3,2,3,5,1,0,3,1,0,5,1,0,1,3,1,2,11,198,29
0,4,0,5,2,4,2,1,0,3,4,4,1,1,4,2,3,2,0,3,2,0,2,4,3,4,1,3,3,3,4,1,0,5,5,5,1,3,1,5,4,3,5,5,3,0,2,5,2,0,4,1,4,3,2,0,3,0,3,4,1,2,0,2,3,1,5,0,1,0,5,0,0,5,2,3,3,1,5,3,4,2,1,1,5,1,2,0,3,2,2,5,0,2,0,0,4,1,3,2,-140,-46,-53
0,0,3,5,0,5,0,5,4,3,3,0,3,1,0,1,1,5,1,5,3,0,0,5,3,3,5,1,3,2,0,5,3,4,1,5,4,0,3,3,2,4,5,2,3,2,5,0,5,2,1,3,5,2,4,3,2,3,2,2,5,4,4,1,0,2,2,1,2,0,5,5,2,0,5,3,0,4,4,2,0,0,2,3,5,3,3,0,0,2,4,1,5,5,4,4,1,5,0,4,-191,321,-248
2,2,4,0,3,2,2,2,1,3,5,5,4,0,1,1,3,1,0,2,5,3,2,4,4,1,5,5,5,1,3,3,1,4,3,3,2,2,1,1,2,5,4,4,1,4,2,1,3,4,2,2,5,4,4,2,2,5,5,3,1,0,3,5,1,1,0,3,0,1,5,1,1,3,0,5,5,2,2,0,5,1,2,4,3,5,4,3,4,5,5,2,1,0,4,1,5,1,4,0,-85,227,-84
1,0,4,3,3,5,5,4,1,4,2,0,0,1,2,3,0,5,4,4,3,0,5,0,2,5,3,5,5,3,5,3,3,2,1,1,3,1,1,1,2,5,3,4,1,1,1,4,3,4,3,2,2,4,3,4,3,3,3,3,0,1,3,5,0,4,3,4,3,4,3,3,0,4,2,3,0,2,0,5,5,0,3,1,3,3,5,2,2,0,4,4,2,5,3,5,4,3,4,5,37,207,-39
1,1,0,1,2,1,5,1,0,2,4,1,3,5,3,2,3,2,4,1,4,3,0,1,3,3,3,1,4,1,2,3,1,2,4,3,1,4,5,2,0,0,2,5,4,3,0,5,1,2,4,4,2,4,1,3,2,1,0,1,5,2,1,3,5,0,4,3,2,1,4,0,3,1,3,0,5,4,5,0,0,1,2,3,5,5,1,5,1,4,2,4,5,1,4,5,0,0,2,3,-156,127,113
5,2,0,1,2,0,4,0,2,2,0,4,2,0,1,4,2,5,1,3,3,4,3,0,4,4,2,5,5,1,2,2,1,4,4,1,0,3,4,4,4,3,5,4,2,5,2,0,1,4,1,1,2,4,4,1,2,0,3,5,5,1,4,3,1,3,3,2,3,5,0,2,2,2,5,5,0,2,4,5,2,5,1,5,4,2,5,3,0,4,0,5,2,1,1,5,3,2,5,5,-30,80,-40
0,2,5,0,4,4,2,0,3,4,0,0,5,5,5,3,2,2,0,5,2,2,5,5,3,3,5,4,4,0,5,0,2,0,5,4,3,4,0,5,3,1,3,1,5,2,5,5,3,4,2,0,0,2,3,0,4,0,5,1,0,5,1,5,1,1,2,1,4,3,5,1,2,2,0,2,4,0,4,3,3,3,1,5,2,0,3,0,2,5,3,2,4,1,2,0,0,2,4,5,-93,-50,247
3,3,3,1,5,1,4,4,2,4,0,1,2,2,5,4,2,5,0,0,1,2,5,3,5,1,2,5,0,0,1,3,5,1,1,4,1,5,3,2,5,0,5,2,4,1,4,2,4,2,0,0,0,1,4,3,3,5,4,5,2,1,1,5,0,3,5,4,4,2,1,5,1,0,4,2,2,2,1,1,1,3,0,4,2,2,2,0,5,2,0,3,2,3,2,1,3,4,1,4,-112,180,-7
1,5,1,2,2,0,0,1,2,3,0,1,0,4,3,2,0,3,2,2,0,3,1,0,0,0,5,2,5,3,1,3,4,5,1,4,3,0,3,0,1,1,0,1,5,0,0,5,0,4,2,1,5,5,2,2,2,2,2,3,1,1,0,5,5,4,5,2,1,0,3,0,0,3,0,5,4,4,1,1,0,4,5,3,0,0,5,2,5,0,2,5,3,1,1,4,1,3,2,3,112,210,23
2,1,3,2,1,4,1,2,4,3,1,3,4,2,4,2,0,2,0,0,4,2,3,5,2,5,0,1,2,5,1,2,1,1,1,2,5,1,0,0,4,2,4,0,4,0,1,4,4,0,2,4,2,3,4,2,3,2,1,1,1,5,5,0,4,5,5,0,5,4,0,2,0,0,3,0,0,3,1,4,2,2,1,2,3,5,4,1,5,2,4,2,2,0,4,4,1,2,5,1,-72,56,-190
3,2,1,1,1,2,3,1,3,4,4,3,2,2,0,0,3,4,4,0,0,5,4,4,5,0,0,4,2,0,3,2,5,1,2,0,1,4,4,4,4,4,1,4,0,0,2,5,2,0,3,4,0,3,5,2,3,1,3,5,0,1,1,1,2,5,1,4,4,1,5,1,1,4,0,1,0,2,5,1,4,5,2,5,1,2,1,1,0,5,3,2,4,4,2,5,3,2,3,0,-158,117,13
0,3,5,4,2,2,3,4,4,4,3,1,5,1,3,3,2,2,2,3,2,4,4,1,0,1,5,0,0,0,2,3,4,2,0,2,4,4,4,4,1,4,1,2,3,3,1,2,0,5,5,3,4,3,0,1,5,3,1,3,4,1,4,2,4,2,3,1,4,3,3,3,3,1,5,4,4,0,0,0,4,0,2,3,0,4,5,2,2,5,1,1,0,1,3,1,0,1,5,1,-63,263,183
3,4,1,3,4,1,5,2,1,2,1,3,4,1,3,1,3,1,0,3,5,5,2,3,4,0,2,2,1,3,3,1,1,3,5,5,2,4,5,5,1,5,3,3,5,0,0,3,0,5,4,0,4,3,5,1,5,3,2,2,2,2,5,3,3,4,3,0,5,3,1,4,2,2,5,5,1,3,2,2,1,1,2,0,4,1,1,3,5,4,0,0,1,2,1,0,0,2,5,5,-49,-8,-88
3,1,1,4,5,0,3,5,0,1,5,0,2,1,1,0,2,3,3,2,2,4,2,1,4,5,1,2,3,4,0,3,1,4,5,5,1,0,5,3,0,2,3,5,2,1,5,5,0,3,3,1,0,4,0,0,4,3,5,2,0,2,2,4,1,0,4,4,3,2,4,2,3,3,1,4,5,1,0,0,4,2,2,4,0,2,2,1,4,1,4,1,5,0,4,2,3,5,4,5,126,259,55
3,0,5,2,3,2,1,3,3,1,2,1,3,4,4,5,4,4,0,2,3,5,1,1,3,1,5,1,4,4,3,2,1,1,5,1,3,0,3,5,1,1,3,1,4,0,5,4,4,0,1,2,0,3,2,1,1,1,1,1,3,3,5,3,1,2,5,0,4,0,3,0,4,5,0,5,0,3,4,1,1,2,0,0,3,5,1,3,5,1,5,1,4,0,2,2,4,3,5,0,-144,92,-229
1,5,4,5,4,0,3,3,1,3,2,3,3,1,5,0,2,5,2,1,2,4,1,2,3,3,2,5,1,5,2,2,4,0,4,3,4,5,4,1,5,4,5,5,5,2,3,0,5,3,0,2,0,2,3,1,0,3,2,1,0,3,4,0,5,2,5,5,1,3,2,1,5,1,4,5,1,0,5,5,5,1,4,5,4,3,3,1,0,1,4,2,1,0,0,1,5,3,0,2,-61,64,53
0,4,0,3,4,3,5,2,5,3,2,2,3,5,3,5,0,5,0,0,2,3,1,2,2,4,5,5,2,0,5,5,3,1,2,0,3,2,4,5,2,1,5,0,3,5,5,3,1,1,2,1,4,3,4,2,2,0,0,0,4,5,5,0,5,5,2,1,4,0,2,3,2,4,4,1,3,4,1,2,0,3,2,1,0,3,1,1,5,0,4,0,2,2,5,2,3,2,3,1,-131,349,17
5,5,4,0,2,0,2,1,5,5,1,3,3,1,1,0,2,4,1,4,4,0,5,0,5,5,1,2,2,1,0,1,0,1,5,3,0,0,5,2,3,4,3,0,1,2,3,1,3,3,0,1,2,1,0,4,4,2,2,1,5,0,5,2,2,4,2,0,1,3,0,5,2,5,2,5,5,3,3,4,3,2,0,3,0,5,1,2,0,3,0,1,2,3,2,3,1,4,2,2,121,166,-216
4,0,2,1,2,5,0,1,3,5,3,1,1,0,2,4,5,3,2,0,0,4,2,4,3,1,1,0,4,2,2,4,2,1,2,4,5,3,3,0,1,4,2,4,3,1,1,5,0,3,3,1,2,1,1,5,0,2,1,0,1,1,3,3,4,4,5,4,0,4,3,0,3,5,0,3,0,5,2,1,4,4,3,5,3,1,2,0,1,5,4,3,0,4,1,5,1,3,0,5,-52,81,21
3,4,1,0,4,4,3,5,3,2,4,3,1,1,5,5,3,1,4,1,3,0,1,4,5,0,4,3,5,3,0,3,2,1,3,2,4,4,2,3,1,3,0,1,2,5,2,0,3,1,4,4,0,0,3,5,4,1,4,4,5,4,1,1,4,3,0,3,3,0,1,4,0,5,5,5,2,2,0,4,5,5,0,3,1,3,1,5,5,2,1,5,0,1,4,3,2,2,5,0,19,310,-118
3,1,5,2,5,0,1,2,1,4,1,3,1,1,5,3,0,1,0,0,3,2,5,5,5,2,1,3,2,1,5,5,2,2,5,4,4,0,0,5,5,3,2,2,1,5,4,1,1,4,3,1,5,4,5,5,2,0,1,2,2,1,3,0,0,2,3,3,4,5,3,5,2,5,1,4,1,2,0,3,2,0,4,4,1,5,0,5,0,3,1,3,4,1,0,2,2,1,1,3,135,171,210
1,4,1,2,4,1,2,4,5,2,1,0,2,0,2,4,2,1,5,1,5,0,5,5,1,5,5,1,3,4,2,5,1,2,4,1,5,3,5,5,1,4,1,4,2,3,2,1,4,3,2,0,1,2,0,0,1,3,4,0,1,3,0,3,4,5,1,2,0,4,2,5,1,3,4,0,2,5,5,3,4,0,0,3,2,5,2,2,3,4,5,4,1,0,3,2,4,3,0,4,132,21,-53
2,5,0,0,1,3,0,5,5,5,4,2,1,0,2,2,5,3,4,0,3,5,1,2,2,1,4,5,0,1,4,2,3,4,2,3,5,2,0,2,5,4,4,5,5,2,3,5,3,1,1,1,2,4,4,3,1,1,0,0,3,0,0,3,3,2,0,2,3,4,2,3,1,1,2,5,5,2,5,3,5,0,4,4,3,5,4,5,4,2,2,1,2,3,1,3,1,5,3,0,-42,197,164
3,3,1,4,4,0,1,1,1,5,0,0,1,0,0,1,3,1,0,5,2,0,3,2,2,1,0,5,0,1,1,2,2,5,3,0,0,1,4,2,1,3,5,5,4,4,3,3,1,0,5,5,2,3,1,3,2,1,2,4,2,1,1,0,1,4,1,4,3,4,3,1,3,4,3,2,4,3,2,1,1,2,5,4,1,2,4,4,0,4,2,0,1,4,5,0,5,0,1,4,-120,26,-68
1,5,1,0,3,3,2,5,3,0,1,3,1,0,1,5,2,2,2,5,5,2,5,3,4,4,3,4,5,5,1,2,4,1,1,0,0,0,4,1,2,3,1,3,0,2,5,2,2,3,1,5,1,5,0,1,1,0,2,3,2,4,0,5,2,3,2,1,1,5,0,5,3,3,0,4,1,5,2,0,1,2,1,0,3,3,0,5,4,2,5,5,1,5,5,2,2,2,4,2,-20,-7,35
2,3,0,2,5,5,0,4,3,3,4,4,4,1,1,4,0,4,4,3,3,3,0,4,1,1,5,1,2,4,3,0,3,5,5,4,4,4,4,1,0,2,1,0,2,4,1,2,1,1,3,1,4,1,2,1,1,3,5,4,3,1,3,4,4,0,0,4,4,2,0,3,4,5,0,2,5,2,3,4,0,4,2,5,3,3,0,3,2,5,4,4,4,0,2,5,1,2,5,5,-45,169,1
2,5,4,4,4,5,4,4,5,3,0,5,1,1,5,1,0,5,4,4,4,0,4,5,4,1,4,1,0,1,5,2,3,1,5,2,1,5,5,5,0,3,2,5,5,0,3,4,0,3,2,5,3,4,2,5,1,0,4,1,0,1,4,5,2,0,1,0,5,4,4,3,0,1,4,2,0,4,4,2,2,0,4,2,3,4,0,0,0,4,0,2,4,2,1,5,0,0,1,1,207,-46,110
3,2,3,5,1,4,3,5,1,5,5,1,0,0,3,3,0,2,3,2,5,1,4,1,3,2,3,1,1,2,1,4,3,5,3,1,2,5,4,5,2,2,3,3,5,2,3,2,0,4,1,2,2,4,1,5,0,2,0,5,5,4,4,0,5,5,4,0,3,3,1,2,2,2,2,3,2,5,1,4,2,4,4,3,2,3,4,2,4,0,0,3,0,5,3,2,3,3,0,5,9,116,2
1,5,4,1,0,5,2,4,2,4,3,0,3,2,4,0,2,4,0,4,4,5,2,4,3,3,1,4,4,1,2,2,0,1,5,1,4,0,5,5,3,0,1,3,5,2,0,0,2,1,1,3,0,1,5,3,3,2,1,5,2,4,4,5,3,5,4,5,3,4,3,4,4,3,0,5,5,4,4,2,2,3,5,0,0,1,0,4,4,3,4,4,5,1,3,0,1,1,1,0,-204,108,-89
4,2,5,4,2,3,4,0,2,0,3,5,0,1,3,4,4,1,0,0,4,5,4,4,5,2,3,4,1,1,4,5,1,4,3,1,0,4,2,3,3,5,4,2,3,5,5,5,4,2,3,1,2,3,4,1,3,5,2,3,1,4,2,5,4,3,4,0,5,4,3,3,0,3,2,5,0,5,2,1,1,5,5,0,5,1,4,0,5,1,2,1,4,2,2,4,3,4,3,4,10,88,-165
4,1,0,5,3,1,1,2,2,2,0,2,1,1,0,3,5,4,2,4,0,5,1,5,4,5,0,4,4,5,3,5,2,5,1,5,4,1,5,2,3,4,4,3,1,1,1,4,2,1,3,4,3,2,2,3,5,1,0,4,1,1,4,2,2,5,5,4,1,5,0,1,4,3,3,4,2,1,0,0,0,4,1,2,3,0,3,4,1,2,2,5,1,3,5,3,5,4,4,4,-142,162,-61
3,3,5,5,3,5,4,5,0,5,3,0,2,4,1,4,3,3,1,3,0,2,2,2,2,0,4,4,4,1,3,4,5,5,2,4,2,1,1,1,2,0,2,3,0,1,4,1,1,5,1,5,2,5,4,2,3,5,4,0,5,3,2,0,1,4,5,5,4,1,4,1,3,4,3,3,5,4,5,2,0,1,5,4,5,2,4,5,3,1,1,3,1,5,5,5,1,5,2,2,-186,142,38
0,5,1,1,0,5,4,2,1,5,1,3,4,5,2,1,4,0,0,2,5,4,1,4,0,3,4,0,2,5,3,2,0,4,5,4,0,0,2,5,2,2,4,0,5,3,4,0,2,4,4,1,5,0,1,0,4,3,0,5,5,5,0,2,5,5,4,4,0,5,4,2,3,2,0,3,5,3,2,4,1,4,4,2,3,2,0,1,3,3,5,4,4,4,1,1,4,3,3,1,-86,176,-28
4,1,5,0,0,3,4,3,2,4,5,2,3,3,4,1,2,3,2,5,0,5,5,2,5,5,0,3,1,4,0,5,5,4,4,5,3,5,0,5,4,2,3,2,4,1,5,3,1,2,1,5,3,3,0,3,0,3,0,5,1,2,5,2,4,3,3,3,0,0,0,1,1,0,5,0,5,3,5,0,0,1,3,2,0,4,1,1,3,2,4,2,5,2,1,4,1,5,2,4,-242,214,-197
4,2,3,0,2,4,0,1,1,2,4,1,3,3,2,5,4,3,1,1,3,0,2,2,2,4,0,3,0,0,2,2,2,4,3,2,5,5,3,4,4,5,1,2,4,2,5,3,0,3,0,3,0,3,4,2,1,2,5,5,5,1,3,5,5,5,2,4,5,4,2,3,5,5,4,4,0,2,4,1,4,4,4,0,5,3,1,2,0,2,3,3,1,4,0,4,3,2,1,4,-18,104,-111
3,2,1,2,0,4,4,3,4,1,3,3,4,4,0,2,3,3,4,2,2,2,4,5,1,4,3,4,1,0,4,4,1,5,1,0,5,1,2,2,2,4,4,2,0,1,0,1,5,1,1,4,0,5,5,1,2,1,3,2,1,5,4,5,3,4,1,1,3,5,3,4,5,2,0,2,1,0,2,2,1,4,4,1,3,1,3,2,5,2,1,2,0,2,1,4,0,5,0,4,-164,142,150
1,4,4,4,0,0,4,3,0,0,5,3,3,5,4,2,4,4,5,2,0,3,5,4,3,4,3,1,2,5,2,5,1,4,4,2,5,3,4,4,1,3,0,4,0,1,2,2,3,1,4,3,5,5,0,2,5,2,2,0,0,4,5,3,2,4,3,2,1,5,4,2,1,2,3,1,5,5,2,2,2,0,3,2,3,2,0,1,0,3,4,4,2,3,5,5,0,5,1,2,148,54,197
3,0,4,1,1,2,2,3,5,1,3,3,0,2,2,3,0,3,0,5,1,4,3,0,3,0,3,4,0,3,2,3,4,5,1,5,3,4,1,2,3,3,2,4,4,0,1,0,1,5,4,2,5,5,3,3,4,3,0,5,5,5,4,2,3,3,4,2,1,2,0,0,4,1,1,2,5,2,3,4,4,0,5,2,4,0,5,4,3,0,4,5,4,4,3,0,1,5,5,0,-101,107,-39
4,4,5,4,2,3,0,3,4,4,5,1,3,4,1,1,5,2,1,5,5,5,5,5,4,3,1,0,1,3,5,1,1,4,0,3,1,0,2,0,2,4,1,4,4,1,1,1,2,2,2,5,2,1,4,1,5,2,1,1,2,5,5,4,1,4,2,4,3,5,3,4,4,0,4,2,0,5,4,1,5,1,2,1,0,3,1,1,1,1,5,5,5,2,4,3,5,3,1,4,-115,321,-121
0,2,0,2,1,5,4,5,3,0,1,3,1,2,3,3,1,1,2,5,5,0,4,5,2,3,4,2,4,0,4,1,4,0,3,1,0,4,4,4,5,2,3,0,5,4,3,0,3,4,4,1,4,3,3,3,0,3,0,5,5,0,5,4,5,4,2,0,0,3,1,3,0,4,3,1,4,4,1,4,2,0,0,5,0,1,0,3,0,3,3,1,2,3,1,1,4,5,0,0,9,109,-46
